Driver,LapNumber,LapTime,TyreLife,Compound,PitOutTime
PER,70.0,0 days 00:01:21.828000,13.0,INTERMEDIATE,
PER,71.0,0 days 00:01:21.666000,14.0,INTERMEDIATE,
PER,72.0,0 days 00:01:21.699000,15.0,INTERMEDIATE,
ALO,1.0,0 days 00:01:32.766000,1.0,SOFT,
ALO,2.0,0 days 00:01:50.145000,2.0,SOFT,
ALO,3.0,0 days 00:01:49.357000,1.0,INTERMEDIATE,0 days 01:05:47.175000
ALO,4.0,0 days 00:01:26.225000,2.0,INTERMEDIATE,
ALO,5.0,0 days 00:01:24.932000,3.0,INTERMEDIATE,
ALO,6.0,0 days 00:01:23.975000,4.0,INTERMEDIATE,
ALO,7.0,0 days 00:01:23.182000,5.0,INTERMEDIATE,
ALO,8.0,0 days 00:01:23.756000,6.0,INTERMEDIATE,
ALO,9.0,0 days 00:01:24.325000,7.0,INTERMEDIATE,
ALO,10.0,0 days 00:01:28.333000,8.0,INTERMEDIATE,
ALO,11.0,0 days 00:01:40.065000,1.0,SOFT,0 days 01:17:30.787000
ALO,12.0,0 days 00:01:17.979000,2.0,SOFT,
ALO,13.0,0 days 00:01:17.643000,3.0,SOFT,
ALO,14.0,0 days 00:01:17.413000,4.0,SOFT,
ALO,15.0,0 days 00:01:17.415000,5.0,SOFT,
ALO,16.0,0 days 00:01:27.815000,6.0,SOFT,
ALO,17.0,0 days 00:01:58.298000,7.0,SOFT,
ALO,18.0,0 days 00:02:08.354000,8.0,SOFT,
ALO,19.0,0 days 00:01:59.078000,9.0,SOFT,
ALO,20.0,0 days 00:01:56.043000,10.0,SOFT,
ALO,21.0,0 days 00:02:05.885000,11.0,SOFT,
ALO,22.0,0 days 00:01:17.482000,12.0,SOFT,
ALO,23.0,0 days 00:01:16.681000,13.0,SOFT,
ALO,24.0,0 days 00:01:16.183000,14.0,SOFT,
ALO,25.0,0 days 00:01:16.054000,15.0,SOFT,
ALO,26.0,0 days 00:01:15.885000,16.0,SOFT,
ALO,27.0,0 days 00:01:15.944000,17.0,SOFT,
ALO,28.0,0 days 00:01:16.373000,18.0,SOFT,
ALO,29.0,0 days 00:01:16.333000,19.0,SOFT,
ALO,30.0,0 days 00:01:15.921000,20.0,SOFT,
ALO,31.0,0 days 00:01:16.097000,21.0,SOFT,
ALO,32.0,0 days 00:01:16.282000,22.0,SOFT,
ALO,33.0,0 days 00:01:15.842000,23.0,SOFT,
ALO,34.0,0 days 00:01:15.813000,24.0,SOFT,
ALO,35.0,0 days 00:01:15.690000,25.0,SOFT,
ALO,36.0,0 days 00:01:15.575000,26.0,SOFT,
ALO,37.0,0 days 00:01:15.674000,27.0,SOFT,
ALO,38.0,0 days 00:01:15.836000,28.0,SOFT,
ALO,39.0,0 days 00:01:15.612000,29.0,SOFT,
ALO,40.0,0 days 00:01:15.577000,30.0,SOFT,
ALO,41.0,0 days 00:01:15.743000,31.0,SOFT,
ALO,42.0,0 days 00:01:15.686000,32.0,SOFT,
ALO,43.0,0 days 00:01:15.829000,33.0,SOFT,
ALO,44.0,0 days 00:01:15.615000,34.0,SOFT,
ALO,45.0,0 days 00:01:15.737000,35.0,SOFT,
ALO,46.0,0 days 00:01:15.967000,36.0,SOFT,
ALO,47.0,0 days 00:01:15.841000,37.0,SOFT,
ALO,48.0,0 days 00:01:19.319000,38.0,SOFT,
ALO,49.0,0 days 00:01:38.405000,3.0,SOFT,0 days 02:10:16.387000
ALO,50.0,0 days 00:01:14.153000,4.0,SOFT,
ALO,51.0,0 days 00:01:14.106000,5.0,SOFT,
ALO,52.0,0 days 00:01:15.514000,6.0,SOFT,
ALO,53.0,0 days 00:01:14.348000,7.0,SOFT,
ALO,54.0,0 days 00:01:13.965000,8.0,SOFT,
ALO,55.0,0 days 00:01:13.862000,9.0,SOFT,
ALO,56.0,0 days 00:01:13.837000,10.0,SOFT,
ALO,57.0,0 days 00:01:14.319000,11.0,SOFT,
ALO,58.0,0 days 00:01:14.005000,12.0,SOFT,
ALO,59.0,0 days 00:01:14.158000,13.0,SOFT,
ALO,60.0,0 days 00:01:14.409000,14.0,SOFT,
ALO,61.0,0 days 00:01:29.136000,15.0,SOFT,
ALO,62.0,0 days 00:01:44.305000,4.0,INTERMEDIATE,0 days 02:26:56.104000
ALO,63.0,0 days 00:01:40.079000,5.0,INTERMEDIATE,
ALO,64.0,0 days 00:02:22.422000,6.0,INTERMEDIATE,
ALO,65.0,,7.0,INTERMEDIATE,0 days 03:13:17.539000
ALO,66.0,0 days 00:02:17.533000,8.0,INTERMEDIATE,
ALO,67.0,0 days 00:01:26,9.0,INTERMEDIATE,
ALO,68.0,0 days 00:01:23.132000,10.0,INTERMEDIATE,
ALO,69.0,0 days 00:01:22.300000,11.0,INTERMEDIATE,
ALO,70.0,0 days 00:01:22.213000,12.0,INTERMEDIATE,
ALO,71.0,0 days 00:01:21.622000,13.0,INTERMEDIATE,
ALO,72.0,0 days 00:01:21.123000,14.0,INTERMEDIATE,
LEC,1.0,0 days 00:01:42.801000,1.0,SOFT,
